Age,Gender,Degree,Title,Industry of employer,Size of employer,State of employer in incorporate machine learning into business,Yearly salary > $100k,Years of coding experience,Years of experience in machine learning methods,Most frequently used data science platform,Most frequently used big data products,Experience with TPU,Primary tool for analyzing data,Regularly use Python,Regularly use R,Regularly use SQL,Regularly use Scikit-learn,Regularly use TensorFlow,Regularly use Keras,Regularly use PyTorch,Regularly use Xgboost,Regularly use Linear or Logistic Regression,Regularly use Decision Trees or Random Forests,Regularly use Gradient Boosting Machines,Regularly use Bayesian Approaches,Regularly use Convolutional Neural Networks
55-59,Man,4,Data Scientist,Broadcasting/Communications,5,well established,Yes,6,7.0,cloud computing platform,Amazon RDS ,1.0,Local development environments,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
30-34,Man,2,Other,Shipping/Transportation,5,I do not know,No,1,2.0,laptop,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22-24,Man,4,Other,Computers/Technology,3,do not use,No,3,1.0,laptop,,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60-69,Man,4,Software Engineer,Computers/Technology,2,well established,No,6,4.0,desktop,MySQL ,1.0,Business intelligence software,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
50-54,Man,3,Software Engineer,Retail/Sales,4,well established,Yes,6,7.0,deep learning workstation,,1.0,Local development environments,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
35-39,Woman,4,Data Scientist,Computers/Technology,1,do not use,Yes,5,7.0,cloud computing platform,Snowflake ,1.0,Local development environments,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
30-34,Woman,4,Data Engineer,Computers/Technology,3,I do not know,No,0,0.0,,,0.0,Business intelligence software,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-34,Man,4,Data Scientist,Insurance/Risk Assessment,5,well established,Yes,4,7.0,laptop,,1.0,Local development environments,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
35-39,Man,3,Business Analyst,Retail/Sales,5,I do not know,No,4,2.0,laptop,,1.0,Basic statistical software,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35-39,Man,4,Data Scientist,Accounting/Finance,1,for insights only,No,5,7.0,desktop,Google Cloud Firestore ,1.0,Local development environments,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
50-54,Woman,6,Data Scientist,Computers/Technology,1,for insights only,No,2,4.0,cloud computing platform,,3.0,Local development environments,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
50-54,Man,3,Product Manager,Energy/Mining,5,exploring,Yes,6,7.0,cloud computing platform,Microsoft Azure Cosmos DB ,1.0,Basic statistical software,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
18-21,Woman,4,Other,Other,1,exploring,No,4,2.0,laptop,,1.0,Local development environments,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30-34,Woman,3,Data Analyst,Manufacturing/Fabrication,1,do not use,No,1,1.0,laptop,Microsoft SQL Server ,1.0,Basic statistical software,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-34,Man,3,Program/Project Manager,Online Service/Internet-based Services,4,well established,Yes,5,4.0,desktop,Microsoft Azure SQL Database ,2.0,Local development environments,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30-34,Man,3,Program/Project Manager,Accounting/Finance,1,exploring,No,2,3.0,desktop,,1.0,Basic statistical software,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
25-29,Man,4,Data Analyst,Computers/Technology,4,well established,No,1,3.0,laptop,,3.0,Basic statistical software,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
35-39,Man,4,Data Analyst,Computers/Technology,2,recently started,No,5,7.0,cloud computing platform,,2.0,Cloud-based data software & APIs,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50-54,Woman,5,Data Scientist,Academics/Education,2,I do not know,No,5,6.0,cloud computing platform,,3.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
30-34,Man,3,Data Scientist,Insurance/Risk Assessment,5,well established,No,4,6.0,cloud computing platform,Microsoft SQL Server ,1.0,Local development environments,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
45-49,Man,2,Data Engineer,Broadcasting/Communications,5,well established,No,3,6.0,desktop,Amazon Redshift ,3.0,Basic statistical software,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
60-69,Man,3,Other,Accounting/Finance,5,well established,Yes,2,2.0,desktop,MySQL ,1.0,Local development environments,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25-29,Man,5,Research Scientist,Academics/Education,5,for insights only,No,4,2.0,cloud computing platform,,1.0,Local development environments,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
35-39,Woman,4,Data Scientist,Computers/Technology,3,well established,No,3,6.0,laptop,,1.0,Local development environments,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
35-39,Man,5,Software Engineer,Accounting/Finance,5,exploring,Yes,5,4.0,cloud computing platform,,3.0,Basic statistical software,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
55-59,Man,5,Data Engineer,Government/Public Service,4,for insights only,Yes,6,9.0,laptop,,1.0,Local development environments,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
35-39,Man,5,Other,Academics/Education,5,I do not know,No,5,5.0,deep learning workstation,,4.0,Local development environments,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
35-39,Man,4,Software Engineer,Energy/Mining,1,do not use,No,1,2.0,desktop,,1.0,Local development environments,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50-54,Man,4,Data Scientist,Hospitality/Entertainment/Sports,2,exploring,No,4,5.0,desktop,PostgreSQL ,3.0,Local development environments,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
35-39,Woman,4,Other,Academics/Education,3,I do not know,No,1,2.0,cloud computing platform,,1.0,Basic statistical software,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
30-34,Man,4,Data Scientist,Online Service/Internet-based Services,4,well established,Yes,5,7.0,cloud computing platform,,1.0,Local development environments,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
55-59,Man,4,Other,Medical/Pharmaceutical,2,well established,Yes,0,0.0,,,0.0,Basic statistical software,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40-44,Woman,3,Other,Medical/Pharmaceutical,2,I do not know,No,0,0.0,,,0.0,Basic statistical software,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35-39,Woman,5,Research Scientist,Academics/Education,2,do not use,No,3,1.0,laptop,,1.0,Advanced statistical software,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60-69,Man,3,Program/Project Manager,Computers/Technology,1,exploring,No,6,2.0,desktop,MySQL ,1.0,Basic statistical software,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
22-24,Man,3,Data Analyst,Accounting/Finance,5,well established,No,3,5.0,cloud computing platform,,1.0,Local development environments,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
35-39,Man,5,Data Scientist,Academics/Education,2,exploring,No,1,3.0,laptop,,1.0,Basic statistical software,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
40-44,Woman,3,Software Engineer,Military/Security/Defense,1,do not use,No,5,2.0,laptop,,1.0,Basic statistical software,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60-69,Man,4,Machine Learning Engineer,Government/Public Service,1,for insights only,No,6,6.0,laptop,,3.0,Local development environments,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
50-54,Man,5,Data Scientist,Academics/Education,3,for insights only,No,4,5.0,laptop,MySQL ,3.0,Local development environments,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
50-54,Man,2,DBA/Database Engineer,Accounting/Finance,3,do not use,Yes,6,8.0,desktop,Microsoft SQL Server ,4.0,Business intelligence software,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
50-54,Man,3,Data Engineer,Accounting/Finance,3,recently started,Yes,6,6.0,laptop,Snowflake ,1.0,Basic statistical software,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45-49,Prefer not to say,5,Data Scientist,Computers/Technology,3,well established,Yes,6,9.0,laptop,,1.0,Other,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
40-44,Man,4,Machine Learning Engineer,Online Service/Internet-based Services,3,well established,Yes,4,4.0,cloud computing platform,PostgreSQL ,1.0,Local development environments,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
55-59,Man,4,Data Scientist,Accounting/Finance,5,well established,Yes,6,9.0,desktop,,1.0,Local development environments,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
45-49,Man,4,Other,Other,5,well established,Yes,6,6.0,cloud computing platform,Microsoft Azure Cosmos DB ,3.0,Local development environments,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
25-29,Woman,5,Data Scientist,Computers/Technology,2,well established,No,2,4.0,desktop,MySQL ,2.0,Business intelligence software,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
35-39,Man,3,Other,Government/Public Service,3,do not use,No,1,2.0,,,1.0,Basic statistical software,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30-34,Man,4,Other,Energy/Mining,5,do not use,No,2,2.0,desktop,,1.0,Basic statistical software,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35-39,Man,3,Product Manager,Computers/Technology,2,recently started,Yes,3,3.0,laptop,Amazon Redshift ,2.0,Cloud-based data software & APIs,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
35-39,Man,5,Research Scientist,Accounting/Finance,2,well established,Yes,4,5.0,laptop,,1.0,Local development environments,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
35-39,Man,5,Machine Learning Engineer,Computers/Technology,3,well established,Yes,4,6.0,cloud computing platform,MySQL ,1.0,Local development environments,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
40-44,Man,4,Other,Accounting/Finance,1,well established,No,3,4.0,desktop,Microsoft SQL Server ,3.0,Basic statistical software,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
25-29,Man,4,Data Scientist,Accounting/Finance,1,recently started,No,3,5.0,laptop,,5.0,Cloud-based data software & APIs,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
45-49,Man,3,Other,Accounting/Finance,1,well established,Yes,6,5.0,laptop,PostgreSQL ,1.0,Local development environments,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
30-34,Man,4,Data Scientist,Shipping/Transportation,3,for insights only,No,3,3.0,desktop,,3.0,Cloud-based data software & APIs,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
25-29,Man,5,Data Scientist,Manufacturing/Fabrication,1,recently started,No,1,2.0,laptop,,1.0,Basic statistical software,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
60-69,Man,3,Other,Other,5,well established,No,6,7.0,laptop,Microsoft SQL Server ,3.0,Business intelligence software,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
50-54,Man,4,Data Scientist,Energy/Mining,4,recently started,No,4,6.0,laptop,,3.0,Local development environments,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
50-54,Man,4,Research Scientist,Accounting/Finance,5,well established,Yes,5,8.0,cloud computing platform,Amazon Redshift ,1.0,Cloud-based data software & APIs,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
25-29,Woman,3,Other,Government/Public Service,5,do not use,No,1,3.0,laptop,,4.0,Basic statistical software,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
60-69,Man,4,Business Analyst,Insurance/Risk Assessment,1,for insights only,No,0,0.0,,,0.0,Business intelligence software,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-29,Woman,4,Software Engineer,Computers/Technology,1,well established,No,2,3.0,cloud computing platform,,2.0,Basic statistical software,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
30-34,Woman,4,Business Analyst,Accounting/Finance,1,I do not know,No,0,0.0,,,0.0,Basic statistical software,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55-59,Man,3,Other,Computers/Technology,2,recently started,No,2,2.0,laptop,MySQL ,1.0,Basic statistical software,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
55-59,Man,2,Software Engineer,Computers/Technology,4,well established,No,6,6.0,laptop,SQLite ,4.0,Local development environments,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
55-59,Man,4,Other,Other,5,I do not know,No,1,1.0,desktop,,1.0,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40-44,Woman,5,Research Scientist,Academics/Education,1,do not use,No,5,2.0,desktop,,1.0,Local development environments,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45-49,Man,6,Data Scientist,Manufacturing/Fabrication,5,recently started,Yes,5,8.0,laptop,PostgreSQL ,1.0,Business intelligence software,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
35-39,Man,4,Business Analyst,Retail/Sales,5,well established,No,5,7.0,laptop,MySQL ,5.0,Local development environments,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55-59,Man,6,Research Scientist,Academics/Education,4,I do not know,Yes,5,2.0,laptop,,1.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
30-34,Man,3,Data Scientist,Computers/Technology,3,well established,Yes,4,7.0,deep learning workstation,,1.0,Local development environments,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
60-69,Prefer not to say,4,Data Analyst,Government/Public Service,5,recently started,No,0,0.0,,,0.0,Local development environments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-29,Man,3,Software Engineer,Computers/Technology,4,well established,No,4,2.0,desktop,,1.0,Local development environments,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
35-39,Man,4,Other,Military/Security/Defense,3,well established,No,4,7.0,laptop,,1.0,Local development environments,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30-34,Man,3,Software Engineer,Military/Security/Defense,4,exploring,No,2,2.0,laptop,,3.0,Other,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
60-69,Man,5,Statistician,Government/Public Service,5,I do not know,No,6,1.0,desktop,,1.0,Advanced statistical software,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40-44,Man,4,Data Scientist,Computers/Technology,5,well established,Yes,5,7.0,cloud computing platform,,1.0,Cloud-based data software & APIs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30-34,Man,5,Research Scientist,Accounting/Finance,4,well established,No,3,3.0,laptop,,1.0,Local development environments,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
45-49,Woman,4,Statistician,Medical/Pharmaceutical,5,recently started,Yes,6,5.0,cloud computing platform,,1.0,Local development environments,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
60-69,Man,4,Business Analyst,Military/Security/Defense,5,recently started,Yes,6,4.0,desktop,Microsoft SQL Server ,3.0,Basic statistical software,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
50-54,Man,4,Machine Learning Engineer,Computers/Technology,5,well established,Yes,6,6.0,cloud computing platform,Amazon Redshift ,3.0,Local development environments,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
50-54,Man,3,Program/Project Manager,Medical/Pharmaceutical,1,do not use,Yes,5,1.0,desktop,Microsoft SQL Server ,1.0,Business intelligence software,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-29,Man,4,Software Engineer,Medical/Pharmaceutical,2,I do not know,No,4,2.0,laptop,,1.0,Basic statistical software,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25-29,Man,5,Machine Learning Engineer,Computers/Technology,3,I do not know,No,3,3.0,desktop,,2.0,,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
25-29,Man,6,Business Analyst,Academics/Education,2,I do not know,No,6,3.0,cloud computing platform,,4.0,Advanced statistical software,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35-39,Nonbinary,4,Machine Learning Engineer,Computers/Technology,1,exploring,No,4,4.0,laptop,Google Cloud BigQuery ,3.0,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50-54,Woman,4,Data Analyst,Medical/Pharmaceutical,5,I do not know,No,6,1.0,Other,,1.0,Advanced statistical software,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40-44,Woman,3,Program/Project Manager,Other,2,do not use,No,0,0.0,,,0.0,Basic statistical software,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45-49,Man,4,Other,Academics/Education,3,I do not know,No,0,0.0,,,0.0,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45-49,Woman,5,Other,Non-profit/Service,3,do not use,No,0,0.0,,,0.0,Basic statistical software,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50-54,Man,3,Data Scientist,Academics/Education,2,exploring,Yes,6,8.0,laptop,Microsoft Azure SQL Database ,5.0,Advanced statistical software,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
35-39,Woman,4,Other,Shipping/Transportation,1,exploring,No,4,7.0,laptop,,1.0,Basic statistical software,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25-29,Man,3,Data Analyst,Computers/Technology,2,well established,No,2,3.0,laptop,,1.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
50-54,Man,4,Data Scientist,Online Service/Internet-based Services,5,well established,Yes,3,6.0,desktop,,3.0,Other,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
40-44,Man,4,Data Scientist,Other,1,recently started,Yes,3,5.0,laptop,Snowflake ,3.0,Local development environments,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
40-44,Man,5,Research Scientist,Academics/Education,5,well established,No,5,7.0,laptop,,1.0,Advanced statistical software,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
25-29,Woman,3,Data Scientist,Marketing/CRM,4,well established,No,3,3.0,laptop,MySQL ,1.0,Local development environments,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
30-34,Man,4,Machine Learning Engineer,Medical/Pharmaceutical,5,well established,No,5,7.0,laptop,Snowflake ,1.0,Local development environments,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
25-29,Man,2,Software Engineer,Computers/Technology,1,recently started,No,2,2.0,desktop,,1.0,Cloud-based data software & APIs,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25-29,Man,4,Data Scientist,Academics/Education,2,recently started,No,1,2.0,laptop,,1.0,Business intelligence software,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
35-39,Man,5,Software Engineer,Accounting/Finance,4,well established,Yes,6,9.0,cloud computing platform,Amazon Redshift ,3.0,Cloud-based data software & APIs,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35-39,Man,4,Data Engineer,Other,2,recently started,Yes,6,7.0,laptop,,1.0,Local development environments,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50-54,Woman,4,Product Manager,Retail/Sales,3,recently started,Yes,5,9.0,laptop,,1.0,Advanced statistical software,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
